nombre,"dirección",número de socios,año de fundación,cuota anual de inscripción,nombre del último premio concedido,tamaño
Comic Universe,"Av. de los Comics 101, Madrid",150,1998,20,Premio Innovación Cómica,Grande
Mundo del Cómic,"Calle de la Imaginación 45, Barcelona",95,2005,18,Premio al Mejor Servicio,Mediano
La Guarida del Superhéroe,"Paseo de la Justicia 78, Valencia",120,1990,25,Premio Comic Classic,Grande
Comic Planet,"Calle Ficticia 12, Sevilla",80,2010,15,Premio Calidad Cómica,Pequeño
Fábrica de Cómics,"Avenida de los Dibujos 33, Bilbao",110,1985,22,Premio Diseño Innovador,Mediano
El Rincón del Cómic,"Calle del Arte 50, Zaragoza",65,2015,12,Premio al Emprendedor Cómico,Pequeño
Comic Lovers,"Plaza de los Héroes 20, Madrid",200,2000,30,Premio a la Excelencia Cómica,Grande
Super Cómics,"Calle de la Fantasía 77, Valencia",90,1995,17,Premio Popularidad Cómica,Mediano
Historietas y Más,"Av. del Cómic 101, Málaga",75,2012,14,Premio al Mejor Nuevo Talento,Pequeño
La Cueva del Cómic,"Calle del Dibujo 60, Granada",130,1988,21,Premio Clásico Cómico,Mediano
Comic Mania,"Plaza de los Dibujos 12, Murcia",85,2008,16,Premio Innovador del Año,Pequeño
Universo Cómico,"Avenida del Arte 22, Bilbao",140,1992,19,Premio Internacional Cómico,Grande
Dibujos y Sueños,"Calle de los Héroes 34, Santander",95,2001,18,Premio al Mejor Servicio,Mediano
Cómics y Aventuras,"Paseo de la Fantasía 88, Zaragoza",60,2018,13,Premio a la Innovación,Pequeño
El Mundo del Cómic,"Avenida de la Imaginación 44, Barcelona",155,1996,20,Premio al Mejor Diseño,Grande
Comic Express,"Calle Rápida 15, Madrid",50,2020,10,Premio Emergente,Pequeño
Retro Cómics,"Calle Vintage 90, Sevilla",105,1980,23,Premio Histórico,Mediano
Nerd Comics,"Avenida Geek 33, Valencia",115,2003,17,Premio a la Creatividad,Mediano
